target,(1+2) EA_{r/2,2r},(1+2) EA_>0,(1+2) EA_BMS,(1+2) EA_half,(1+2) EA_norm.,(1+2) EA_var.,(1+50) EA_{r/2,2r},(1+50) EA_>0,(1+50) EA_BMS,(1+50) EA_half,(1+50) EA_L1,(1+50) EA_L3,(1+50) EA_norm.,(1+50) EA_var.,RLS
4975,16.76,13.02,13.02,22.64,18.99,15.81,81.54,141.7,89.99,73.34,95.99,62.56,117.92,112.76,29.59,,
4976,17.1,13.58,13.43,23.53,19.52,16.38,83.8,146.34,92.91,76.22,98.61,64.3,120.38,116.25,30.54,,
4977,17.48,14.12,13.98,24.2,20.14,16.98,85.69,150.9,95.95,77.86,102.91,66.6,123.41,119.42,31.37,,
4978,17.78,14.7,14.56,24.88,20.7,17.52,87.78,154.28,98.25,79.83,104.35,68.78,127.25,122.84,32.25,,
4979,18.14,15.2,15,25.68,21.09,18.02,89.43,159.88,100.78,82.87,108.78,71.26,129.44,126.95,33.21,,
4980,18.53,15.79,15.52,26.53,21.58,18.58,91.14,165.66,104.8,84.13,112.22,74.1,130.82,130.19,34.16,,
4981,18.88,16.49,15.91,27.42,22.07,19.26,93.85,171.41,107.65,86.88,114.84,74.93,135.66,135.05,35.14,,
4982,19.26,16.94,16.27,28.08,22.49,20.02,95.01,178.07,110.46,89.61,117.15,77.38,137.96,140.05,36.14,,
4983,19.6,17.69,16.75,28.89,23.11,20.59,96.96,183.04,114.22,92.44,122.3,79.61,141.66,142.34,37.09,,
4984,19.95,18.35,17.21,29.69,23.77,21.3,99.12,189.36,116.99,95.64,124.76,81.7,145.29,146.44,38.28,,
4985,20.34,18.98,17.71,30.72,24.62,21.93,101.12,194.79,120.97,97.21,129.1,84.84,148.34,150.56,39.4,,
4986,20.75,19.88,18.17,31.58,25.48,22.58,103.43,202.16,124.44,100.5,133.5,86.07,152.15,153.67,40.39,,
4987,21.22,20.75,18.54,32.46,26.36,23.18,105.34,208.21,127.81,102.51,136.61,88.1,155.86,159.78,41.29,,
4988,21.98,21.39,19.11,33.21,26.75,23.74,107.27,213.41,130.09,105.43,139.71,90.87,158.24,162.61,42.23,,
4989,22.29,21.99,19.88,34.13,27.49,24.54,108.96,221.34,133.28,107.25,143.89,93.52,163.1,166.96,43.13,,
4990,22.67,22.77,20.55,34.83,28.16,25,111.13,229.39,137.78,109.56,147.01,96.61,166.94,171.02,44.16,,
4991,23.35,23.51,21.21,35.7,29.17,25.87,114.29,236.98,141.76,111.33,149.97,99.8,170.64,175.9,45.23,,
4992,23.88,24.3,21.9,36.95,29.92,26.62,117.55,246.19,144.87,113.38,156.36,101.45,174.43,178.41,46.14,,
4993,24.35,25,22.7,37.62,30.61,27.4,119.98,254.62,149.2,116.22,160.33,102.94,179.96,183.43,47.38,,
4994,24.87,25.65,23.23,38.49,31.22,28.1,123.08,262.76,153.16,118.27,165.6,105.63,185.67,187.15,48.58,,
4995,25.55,26.5,23.84,39.46,32.04,28.94,124.46,271.53,157.26,121.22,168.6,108,190.43,190.4,49.77,,
4996,25.88,27.25,24.5,40.74,32.78,29.82,127.32,281.78,162.31,123.68,172.66,109.61,193.75,196.35,50.87,,
4997,26.28,27.88,25.13,41.79,33.64,30.46,129.75,291.61,165.64,125.65,178.14,111.77,198.46,201.03,51.93,,
4998,26.65,28.85,25.83,42.72,34.55,31.1,133.01,301.4,169.44,127.55,181.59,114.97,202.76,203.4,53.15,,
4999,27.1,29.7,26.83,43.76,35.33,31.83,135.78,308.82,173.12,129.52,187.24,118.27,206.1,206.97,54.32,,
5000,27.52,30.56,27.92,44.88,36.3,32.69,138.93,321.16,177.47,131.78,191.04,120.35,212.06,209.94,55.7,,
5001,28.01,31.34,28.72,45.88,37.17,33.46,141.3,329.66,181.31,134.13,195.16,123.05,216.04,216.28,56.81,,
5002,28.42,32.28,29.52,47.03,38.16,34.22,143.63,340.26,187.46,139.31,199,125.81,220.35,220.04,57.96,,
5003,28.87,33.41,30.45,48.02,38.77,35.26,146.54,350.91,191.65,142.55,203.59,128.48,225.31,224.62,59.02,,
5004,29.35,34.09,31.76,49.04,39.55,36.04,148.71,359.49,198.03,146.24,209.26,129.57,227.74,230.44,60.32,,
5005,30.03,35.25,32.7,49.92,40.48,37.05,152.17,370.51,203.75,149.94,213.36,132.98,232.13,235.26,61.67,,
5006,30.69,36.32,33.62,50.79,41.25,37.86,156.79,382.9,209.33,154.2,217.56,136.88,236.29,240.73,63.02,,
5007,31.29,37.15,34.51,51.71,41.97,38.72,159.38,392.95,213.75,157.03,221.55,138.08,240.93,245.99,64.05,,
5008,32.01,38.16,35.4,52.97,42.67,39.65,161.28,402.02,218.2,161.41,225.45,139.63,246.46,249.09,65.66,,
5009,32.51,38.89,36.44,54.05,43.66,40.72,163.98,413.54,222.89,164.54,232.04,142.67,251.95,253.71,66.97,,
5010,33.06,39.98,37.41,54.97,44.54,41.67,168.35,423.03,227.46,168.03,235.65,146.02,255.62,258.37,68.19,,
5011,33.79,40.79,38.39,56.23,45.52,42.77,171.85,434.53,232.48,171.03,241.13,148.54,261.14,263.47,69.49,,
5012,34.2,41.65,39.35,57.39,46.44,43.88,174.72,445.79,238.11,174.49,244.56,151.24,265.04,266.12,70.83,,
5013,34.89,42.53,40.33,58.63,47.44,44.77,179.88,457.44,243.02,178.84,248.36,153.51,271.23,270.77,72.05,,
5014,35.43,43.68,41.21,59.71,48.28,45.42,183.4,467.52,251.24,183.09,254.5,156.5,276.05,275.99,73.6,,
5015,35.96,44.89,42.04,60.78,49.41,46.45,185.15,475.85,257.63,186.79,259.05,158.27,280.69,281.39,75.02,,
5016,36.59,45.94,43.22,61.77,50.48,47.63,188.56,488.95,262.65,191.03,263.69,160.7,286.29,284.21,76.43,,
5017,37.02,47.09,44.38,62.92,51.4,48.35,192.66,500.75,265.64,193.52,267.44,163.12,291.25,287.26,77.66,,
5018,37.51,48.16,45.61,63.86,52.36,49.64,197.29,512.18,270.65,196.43,271.46,168.29,294.45,291.68,78.95,,
5019,37.96,49.19,46.5,65.51,53.24,50.61,199.98,524.33,276.56,199.46,275.6,170.58,301.35,296.44,80.25,,
5020,38.53,50.35,47.58,66.81,54.72,51.72,203.48,539.03,281.58,205.35,280.06,173.48,306.14,302.75,81.6,,
5021,38.97,51.81,48.38,68.1,55.53,52.8,206.27,550.14,287.32,207.71,285.51,175.32,310.51,307.08,83.05,,
5022,39.45,53.09,49.46,69.21,56.85,53.97,209.75,563.49,293.67,211.3,290,177.22,315.62,310.4,84.44,,
5023,39.9,54.46,50.4,70.53,57.92,55.14,214.37,574.64,298.66,217.2,295.06,179.27,319.23,315.6,85.79,,
5024,40.57,55.63,51.63,71.77,59.1,56.06,217.85,587.15,303.55,220.79,300.51,181.23,326.35,320.37,87.28,,
5025,41.19,56.74,52.5,73.05,60.31,57.25,219.67,598.25,309.76,223.28,304.22,184.48,330.64,326.3,88.58,,
5026,41.6,58.19,53.54,74.5,61.59,58.22,223.05,611.42,316.16,228.81,309.31,187.07,336.09,330.32,90.01,,
5027,42.2,59.51,54.66,75.87,63.1,59.48,226.68,622.84,321.13,231.89,316.96,190.04,340.83,337.19,91.46,,
5028,42.81,60.78,55.7,77.23,64.07,60.71,229.29,638.43,327.07,234.21,324.83,191.51,347.45,341.57,92.81,,
5029,43.44,61.99,56.71,78.55,65.41,61.76,234.26,646.74,334.26,239.35,328.29,194.13,352.66,347.01,94.44,,
5030,43.87,63.19,57.76,79.58,66.53,63.1,238.34,662.87,339.28,242.71,333.86,197.14,358.23,352.11,95.73,,
5031,44.36,64.77,58.66,80.76,67.6,64.69,242.39,677.04,345.04,246.85,338.53,200.02,363.39,357.99,97.21,,
5032,44.89,65.97,59.76,81.92,68.73,65.71,246.21,691.9,351.01,251.07,344.79,204.02,369.46,364.82,98.69,,
5033,45.46,67.26,60.88,82.94,69.92,67.02,249.42,705.7,355.47,254.54,351.52,206.43,374.85,371.03,100.25,,
5034,46.26,68.81,62.01,84.48,70.97,68.27,253.86,720.68,360.31,259.71,356.94,209.18,379.83,375.68,101.76,,
5035,46.96,70.19,63.14,85.8,72.35,69.38,256.87,736.8,365.27,264.94,362,211.36,385.23,380.95,103.22,,
5036,47.52,71.57,64.41,87.04,73.87,70.5,261.03,751.85,370.38,269.67,368.53,215.39,392.15,385.63,104.73,,
5037,48.18,73.23,65.69,88.1,75.22,71.68,266.3,767.2,377.08,274.59,374.7,218.16,395.53,390.85,106.08,,
5038,48.87,74.67,66.55,89.31,76.64,73.48,268.66,782.4,384.54,277.95,379.73,219.79,400.3,397.47,107.72,,
5039,49.53,76.26,67.62,90.46,78.05,74.7,273.19,798.35,389.92,280.4,384.54,224.91,407.07,404.93,109.4,,
5040,50.27,77.77,69.19,92.05,79.14,75.89,276.77,813.78,395.04,285.8,390.97,226.43,410.86,407.57,111.02,,
5041,50.84,79.3,70.28,93.16,80.21,77.3,280.1,829.07,399.3,289.23,395.9,229.71,418.62,412.28,112.68,,
5042,51.57,80.76,71.46,94.45,81.85,78.24,283.38,845.43,403.94,294.47,401.75,231.69,424.26,417.17,114.28,,
5043,52.19,82.11,72.6,95.8,83.57,79.38,288,861.74,409.14,299.75,407.08,234.98,431.38,423.04,115.87,,
5044,52.75,83.79,73.89,97.27,84.6,80.69,292.67,879.03,414.36,303.09,413.85,237.52,436.2,427.88,117.65,,
5045,53.47,85.41,75.03,98.37,85.59,82.04,294.81,893.81,421.59,307.78,420.84,240.29,442.24,432.76,119.33,,
5046,54.29,87.09,76.24,99.62,86.79,83.14,299.08,911.02,428.63,312.54,426.73,244.52,448.61,440.41,120.99,,
5047,55.24,88.49,77.72,101.06,88.08,84.45,302.46,926.78,433.48,317.29,431.84,247.74,452.94,446.04,122.73,,
5048,55.91,89.97,79.23,102.41,89.52,85.77,305.97,941.38,439.18,322.88,436.16,251.2,459.17,450.66,124.31,,
5049,56.49,91.86,80.42,103.64,90.76,87.1,310.11,957.96,444.84,326.96,440.31,254.06,466.28,456.12,125.86,,
5050,57.4,93.51,81.52,104.85,91.86,88.28,314.26,974.59,451.88,331.37,448.87,255.97,471.83,462.09,127.57,,
5051,58.21,95.14,82.86,106.51,93.13,89.38,317.27,989.9,457.4,334.94,455.44,258.94,478.04,466.93,129.29,,
5052,58.96,97.19,84.03,108.25,94.58,90.86,322.29,1007.19,464.24,341.05,460.38,261.3,483.39,473.31,130.91,,
5053,59.68,98.77,84.93,109.5,95.91,92.1,326.16,1024.6,469.95,345.66,466.55,264.02,488.8,478.72,132.69,,
5054,60.2,100.59,86.23,110.91,97.13,93.41,330.47,1042.58,477.62,349.67,473.03,267.14,495.34,484.03,134.32,,
5055,61.04,102.15,87.19,112.51,98.26,94.82,333.31,1059.39,481.37,354.1,479.8,270.25,500.65,489.64,136.01,,
5056,61.65,103.93,88.75,113.93,99.28,95.96,336.29,1078.19,486.15,358.42,485.48,272.87,504.91,495.76,137.95,,
5057,62.58,105.67,89.96,115.46,100.58,97.31,341.24,1095.46,490.25,363,490.44,275.52,510.8,501.78,139.73,,
5058,63.23,107.87,91.21,116.79,101.88,98.17,344.57,1112.7,496.8,367.13,496.49,278.41,519.07,507.68,141.48,,
5059,63.95,109.78,92.53,118.29,103.21,99.39,349.63,1131.13,503.22,371.13,501.43,281.55,525.39,513.74,143.27,,
5060,64.69,112.02,93.93,119.9,104.61,100.34,353.8,1150.47,508.24,377.69,509.72,284.29,529.02,520.76,145,,
5061,65.5,113.92,95.63,121.45,106.02,101.92,358.07,1167.55,515.71,383.01,515.2,287.71,533.62,527.2,146.56,,
5062,66.22,116.35,97.18,123.12,107.44,103.3,361.89,1185.35,522.55,388.1,524,290.1,540.33,532.1,148.23,,
5063,66.81,118.2,98.47,124.41,108.89,104.5,365.62,1201.32,527.32,392.69,530.67,293.48,547.01,536.82,149.75,,
5064,67.74,120.18,100.01,125.66,110.33,105.7,369.91,1219.05,534.36,397.54,536.45,295.85,551.4,544.71,151.73,,
5065,68.37,122.22,101.21,127.27,111.61,107.07,373.38,1237.33,540.86,402.05,542.94,298.48,556.44,549.4,153.46,,
5066,69.36,124.05,102.83,128.72,113.11,108.42,376.48,1254.44,547.35,406.89,551.39,300.28,561.27,555.46,155.24,,
5067,70.29,126.12,104.28,130.15,114.41,109.72,381.1,1274.95,554.16,412.8,555.56,302.85,566.03,561.74,156.98,,
5068,71.22,128.16,105.45,131.7,115.83,110.85,385.46,1288.29,559.78,417.77,562.56,305.11,571.88,566.36,158.85,,
5069,72.24,130.25,106.75,133.31,117.44,112.1,390.27,1309.76,563.58,422.93,570.35,306.93,576.95,573.64,160.45,,
5070,73.02,132.44,108.17,135.18,119.15,113.28,394.31,1327.33,568.88,429.99,577.34,310.49,582.5,581.2,162.14,,
5071,73.59,134.77,109.52,136.78,120.29,114.4,398.08,1344.67,575.61,435.4,583.42,314.38,589.53,586.1,164.08,,
